x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399995,0.000399897,0.000397835,0.000431479,0.001257106,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400005,0.000400103,0.000402165,0.000368521,-0.000457106,0.001281641
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399993,0.00039986,0.000397064,0.00046946,0.001367413,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400007,0.00040014,0.000402936,0.00033054,-0.000567413,0.001426575
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399991,0.00039981,0.000396032,0.000518832,0.00147731,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400009,0.00040019,0.000403968,0.000281168,-0.00067731,0.001582362
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399988,0.000399742,0.000394654,0.000579561,0.001586879,0.0004,0.0004,0.0004,0.0004,0.000400001,0.000400012,0.000400258,0.000405346,0.000220439,-0.000786879,0.001749062
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399983,0.00039965,0.000392838,0.000651662,0.001696198,0.0004,0.0004,0.0004,0.0004,0.000400001,0.000400017,0.00040035,0.000407162,0.000148338,-0.000896198,0.001926766
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399977,0.000399526,0.000390555,0.000735165,0.001805325,0.0004,0.0004,0.0004,0.0004,0.000400001,0.000400023,0.000400474,0.000409445,6.48E-05,-0.001005325,0.00211555
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399969,0.000399358,0.000387777,0.000830061,0.001914311,0.0004,0.0004,0.0004,0.0004,0.000400001,0.000400031,0.000400642,0.000412223,-3.01E-05,-0.001114311,0.002315449
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399998,0.000399958,0.000399129,0.000386103,0.000936351,0.002023194,0.0004,0.0004,0.0004,0.0004,0.000400002,0.000400042,0.000400871,0.000413897,-0.000136351,-0.001223194,0.002526468
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399997,0.000399944,0.000398819,0.000389755,0.00104772,0.002132,0.0004,0.0004,0.0004,0.0004,0.000400003,0.000400056,0.000401181,0.000410245,-0.00024772,-0.001332,0.002742213
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399996,0.000399924,0.000398401,0.000404874,0.001160126,0.00224075,0.0004,0.0004,0.0004,0.0004,0.000400004,0.000400076,0.000401599,0.000395126,-0.000360126,-0.00144075,0.002958877
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399995,0.000399897,0.000397833,0.000431424,0.001272054,0.002349458,0.0004,0.0004,0.0004,0.0004,0.000400005,0.000400103,0.000402167,0.000368576,-0.000472054,-0.001549458,0.003175054
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399993,0.00039986,0.000397063,0.000469408,0.001383514,0.002458136,0.0004,0.0004,0.0004,0.0004,0.000400007,0.00040014,0.000402937,0.000330592,-0.000583514,-0.001658136,0.003390747
0.0004,0.0004,0.0004,0.0004,0.0004,0.000399991,0.00039981,0.000396031,0.000518781,0.001494532,0.002566792,0.0004,0.0004,0.0004,0.0004,0.000400009,0.00040019,0.000403969,0.000281219,-0.000694532,-0.001766792,0.003605982
0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399988,0.000399742,0.000394653,0.00057951,0.0016052,0.002675431,0.0004,0.0004,0.0004,0.000400001,0.000400012,0.000400258,0.000405347,0.00022049,-0.0008052,-0.001875431,0.003820856
0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399983,0.00039965,0.000392837,0.000651609,0.001715603,0.002784057,0.0004,0.0004,0.0004,0.000400001,0.000400017,0.00040035,0.000407163,0.000148391,-0.000915603,-0.001984057,0.004035455
0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399977,0.000399526,0.000390554,0.00073511,0.001825801,0.002892675,0.0004,0.0004,0.0004,0.000400001,0.000400023,0.000400474,0.000409446,6.49E-05,-0.001025801,-0.002092675,0.004249843
0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399969,0.000399358,0.000387777,0.000830003,0.001935848,0.003001286,0.0004,0.0004,0.0004,0.000400001,0.000400031,0.000400642,0.000412223,-3.00E-05,-0.001135848,-0.002201286,0.004464077
0.0004,0.0004,0.0004,0.0004,0.000399998,0.000399958,0.000399129,0.000386103,0.000936291,0.002045787,0.003109892,0.0004,0.0004,0.0004,0.000400002,0.000400042,0.000400871,0.000413897,-0.000136291,-0.001245787,-0.002309892,0.004678199
0.0004,0.0004,0.0004,0.0004,0.000399997,0.000399944,0.000398819,0.000389755,0.001047656,0.002155644,0.003218495,0.0004,0.0004,0.0004,0.000400003,0.000400056,0.000401181,0.000410245,-0.000247656,-0.001355644,-0.002418495,0.004892238
0.0004,0.0004,0.0004,0.0004,0.000399996,0.000399924,0.000398401,0.000404874,0.001160058,0.00226544,0.003327094,0.0004,0.0004,0.0004,0.000400004,0.000400076,0.000401599,0.000395126,-0.000360058,-0.00146544,-0.002527094,0.005106215
0.0004,0.0004,0.0004,0.0004,0.000399995,0.000399897,0.000397833,0.000431424,0.001271982,0.002375193,0.003435692,0.0004,0.0004,0.0004,0.000400005,0.000400103,0.000402167,0.000368576,-0.000471982,-0.001575193,-0.002635692,0.005320148
