x1,x2,x4,x5,x7,x9,x11,x12,x14,x15,x17,x18,x20,x21,x22,x24,x25,x27
0.021449326,0.021450309,0.019700477,0.019701636,0.020601121,0.020601703,0.008099751,0.008099026,0.006068932,0.006068414,0.007058372,0.007057698,0.015090789,0.015090122,0.013083189,0.013083918,0.014088794,0.014089438
0.022085727,0.022087051,0.020071,0.020072585,0.021110614,0.021111397,0.00825511,0.008254124,0.005915643,0.005914942,0.007057593,0.007056683,0.015504646,0.015503739,0.013195527,0.013196521,0.014354084,0.014354954
0.022730338,0.022732124,0.02043139,0.020433561,0.02162002,0.021621077,0.008421203,0.00841986,0.005751816,0.005750864,0.007056919,0.007055685,0.015928361,0.015927127,0.013297069,0.013298426,0.014619292,0.01462047
0.023383096,0.0233855,0.02078157,0.020784534,0.022129323,0.022130744,0.008598054,0.00859623,0.005577466,0.005576175,0.00705637,0.007054702,0.016361934,0.01636026,0.013387759,0.013389602,0.014884394,0.014885986
0.024043923,0.024047157,0.021121431,0.021125472,0.022638497,0.022640403,0.008785709,0.008783243,0.005392614,0.005390859,0.007055984,0.007053729,0.016805377,0.016803113,0.013467511,0.013470004,0.015149355,0.015151502
0.024712739,0.024717091,0.021450823,0.021456335,0.023147499,0.023150056,0.00898425,0.008980922,0.005197282,0.005194885,0.007055818,0.007052762,0.017258731,0.017255674,0.013536203,0.013539564,0.01541412,0.015417018
0.025389475,0.025395314,0.021769602,0.021777095,0.023656284,0.023659704,0.009193767,0.009189307,0.00499149,0.004988212,0.00705593,0.007051802,0.017722049,0.017717946,0.01359371,0.013598209,0.015678633,0.015682534
0.026074056,0.026081853,0.022077579,0.022087716,0.02416479,0.024169349,0.009414383,0.009408459,0.004775262,0.004770777,0.007056403,0.007050845,0.018195408,0.018189949,0.013639869,0.013645837,0.01594282,0.01594805
0.026766395,0.026776745,0.022374521,0.022388163,0.024672929,0.024678991,0.009646255,0.00963847,0.004548625,0.004542481,0.007057339,0.007049891,0.018678908,0.018671728,0.013674478,0.013682313,0.016206579,0.016213566
0.027466421,0.027479955,0.022660294,0.022678406,0.025180657,0.025188631,0.009889437,0.009879417,0.004311601,0.00430325,0.00705877,0.00704894,0.019172558,0.019163323,0.013697437,0.013707526,0.01646987,0.016479082
0.028174057,0.028191353,0.022934827,0.022958413,0.025687881,0.02569827,0.010143896,0.010131334,0.004064218,0.004053045,0.007060712,0.00704799,0.019676273,0.019664754,0.013708725,0.013721431,0.016732637,0.016744598
0.028889214,0.028910181,0.023199669,0.02322815,0.026196331,0.026207908,0.010408293,0.010394225,0.003806506,0.003791864,0.007061567,0.007047041,0.020188971,0.020175943,0.013709841,0.013723942,0.016996605,0.017010114
0.029611816,0.029629009,0.02346451,0.02348759,0.026710307,0.026717545,0.010672691,0.010661663,0.003538492,0.003526132,0.007057163,0.007046094,0.02070167,0.020690635,0.013710956,0.013721197,0.017266164,0.01727563
0.030341786,0.030340406,0.023739038,0.023736704,0.027234109,0.027227182,0.010927155,0.01093,0.003260206,0.003259499,0.007041366,0.007045146,0.021205387,0.021205971,0.013722243,0.013717363,0.01754672,0.017541146
0.031079033,0.031043616,0.024024803,0.023975462,0.027767512,0.027736818,0.011170345,0.011197882,0.002971682,0.002993324,0.007014263,0.0070442,0.02169904,0.021720936,0.013745198,0.013714037,0.017838111,0.017806662
0.031823474,0.031738509,0.024321732,0.024203838,0.028310458,0.028246454,0.011402229,0.011465281,0.002672951,0.002727632,0.006975901,0.007043253,0.022182545,0.022235462,0.013779801,0.013711205,0.018140282,0.018072178
0.032575035,0.032425048,0.024629691,0.024421808,0.028862796,0.028756089,0.011622864,0.01173222,0.002364046,0.002462401,0.006926389,0.007042307,0.022655911,0.02274956,0.013825952,0.013708833,0.018453099,0.018337694
0.03333362,0.033103271,0.024948445,0.024629346,0.029424338,0.029265725,0.011832408,0.011998799,0.002045003,0.00219753,0.006865865,0.007041361,0.02311924,0.023263323,0.013883448,0.013706817,0.018776392,0.01860321
0.034099142,0.033773206,0.025277802,0.024826428,0.029994928,0.02977536,0.012030986,0.012265103,0.001715861,0.001932934,0.006794432,0.007040416,0.023572608,0.023776826,0.013952124,0.013705074,0.019110027,0.018868726
0.034871527,0.034434863,0.025617615,0.025013034,0.030574442,0.030284995,0.012218693,0.012531194,0.001376651,0.001668552,0.006712164,0.00703947,0.024016072,0.024290131,0.014031854,0.013703544,0.0194539,0.019134242
0.035650677,0.03508824,0.025967729,0.025189141,0.031162752,0.03079463,0.012395614,0.012797133,0.001027416,0.001404322,0.006619132,0.007038525,0.024449672,0.024803295,0.014122513,0.013702165,0.01980791,0.019399759
